ゾーン,ホライゾン(分),系統,現在温度依存度(%),現在湿度依存度(%),LAG温度依存度(%),移動平均温度依存度(%),現在サーモ状態依存度(%),現在AC制御依存度(%),現在環境データ依存度(%),未来サーモ状態依存度(%),未来AC制御依存度(%),未来環境データ依存度(%),多項式特徴量依存度(%),時間特徴量依存度(%),その他特徴量依存度(%),過去時系列合計(%),現在非センサー合計(%),未来説明変数合計(%)
1,15,L,96.28571428571429,0.0,0.0,0.0,0.4285714285714286,0.0,0.0,1.9285714285714284,0.0,0.0,0.0,0.0,1.3571428571428572,96.28571428571429,0.4285714285714286,1.9285714285714284
2,15,M,86.28571428571429,0.0,0.0,0.0,0.14285714285714285,4.214285714285714,0.2142857142857143,4.642857142857143,1.8571428571428572,0.2142857142857143,0.0,0.14285714285714285,2.2857142857142856,86.28571428571429,4.714285714285714,6.714285714285714
3,15,M,85.85714285714286,0.0,0.0,0.0,0.14285714285714285,2.357142857142857,0.4285714285714286,4.571428571428571,1.4285714285714286,0.4285714285714286,0.0,0.5714285714285714,4.214285714285714,85.85714285714286,3.5000000000000004,6.428571428571428
4,15,R,93.85714285714286,0.0,0.0,0.0,0.7857142857142858,2.642857142857143,0.0,1.0714285714285714,0.5,0.0,0.0,0.07142857142857142,1.0714285714285714,93.85714285714286,3.5000000000000004,1.5714285714285716
5,15,R,71.71428571428572,0.0,0.0,0.0,2.2857142857142856,0.5,1.7857142857142856,16.357142857142858,1.6428571428571428,2.2857142857142856,0.0,0.2142857142857143,3.214285714285714,71.71428571428572,4.785714285714286,20.285714285714285
7,15,L,96.71428571428572,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,1.9285714285714284,96.71428571428572,0.07142857142857142,1.2857142857142856
8,15,M,98.85714285714286,0.0,0.0,0.0,0.4285714285714286,0.2142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.2142857142857143,98.85714285714286,0.6428571428571428,0.2857142857142857
9,15,M,95.92857142857143,0.0,0.0,0.0,0.4285714285714286,0.14285714285714285,0.2142857142857143,0.0,0.2142857142857143,0.07142857142857142,0.0,0.0,3.0,95.92857142857143,0.7857142857142858,0.2857142857142857
10,15,R,93.57142857142857,0.0,0.0,0.0,0.14285714285714285,0.9285714285714286,0.0,3.571428571428571,0.0,0.0,0.0,0.0,1.7857142857142856,93.57142857142857,1.0714285714285714,3.571428571428571
11,15,R,89.07142857142857,0.07142857142857142,0.0,0.0,1.0714285714285714,2.214285714285714,0.0,3.428571428571429,0.5,0.0,0.0,0.0,3.642857142857143,89.14285714285714,3.2857142857142856,3.9285714285714284
