ゾーン,ホライゾン(分),現在温度依存度(%),LAG特徴量依存度(%),移動平均依存度(%),時系列特徴量合計(%),サーモ状態依存度(%),未来特徴量依存度(%),多項式特徴量依存度(%),その他特徴量依存度(%),系統
1,15,5.066666666666666,8.6,2.3666666666666667,16.03333333333333,0.5,0.0,71.13333333333334,12.333333333333334,L
2,15,5.533333333333333,9.9,3.0666666666666664,18.5,0.6333333333333333,0.0,67.16666666666666,13.700000000000001,M
3,15,5.133333333333334,10.433333333333334,3.933333333333333,19.5,0.36666666666666664,0.0,67.30000000000001,12.833333333333332,M
4,15,3.833333333333333,8.066666666666666,2.4,14.299999999999999,0.33333333333333337,0.0,73.7,11.666666666666666,R
5,15,6.7,6.366666666666666,4.5,17.566666666666666,0.36666666666666664,0.0,68.63333333333334,13.433333333333334,R
7,15,4.3999999999999995,10.966666666666667,2.166666666666667,17.533333333333335,0.6333333333333333,0.0,69.43333333333334,12.4,L
8,15,5.5,8.9,2.833333333333333,17.233333333333334,0.33333333333333337,0.0,70.96666666666667,11.466666666666667,M
9,15,5.4,10.9,3.166666666666667,19.46666666666667,0.36666666666666664,0.0,69.8,10.366666666666667,M
10,15,5.733333333333333,10.033333333333333,3.2333333333333334,19.0,0.4333333333333333,0.0,68.93333333333334,11.633333333333333,R
11,15,4.1000000000000005,9.533333333333333,3.1333333333333333,16.766666666666666,0.5333333333333333,0.0,71.0,11.700000000000001,R
